epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.7203,2.79054,0.08955,0.31343,2.74453,4.116e-05,4.116e-05,4.116e-05
2,10.0087,2.60183,0.13433,0.50746,2.55815,8.64536e-05,8.64536e-05,8.64536e-05
3,14.9729,2.42351,0.19403,0.65672,2.27637,0.000129884,0.000129884,0.000129884
4,19.7172,2.18202,0.41791,0.80597,1.96168,0.000171453,0.000171453,0.000171453
5,24.5554,1.90267,0.59701,0.91045,1.62655,0.000211158,0.000211158,0.000211158
6,29.6335,1.74707,0.65672,0.92537,1.28043,0.000249,0.000249,0.000249
7,34.5017,1.52911,0.76119,0.95522,0.92171,0.00028498,0.00028498,0.00028498
8,39.209,1.24514,0.8209,0.97015,0.67419,0.000319097,0.000319097,0.000319097
9,44.0652,1.12633,0.85075,0.98507,0.53393,0.000351351,0.000351351,0.000351351
10,50.6764,0.97006,0.89552,0.98507,0.39944,0.000381743,0.000381743,0.000381743
11,55.3458,0.8671,0.9403,0.98507,0.32741,0.000410271,0.000410271,0.000410271
12,61.0935,0.75724,0.9403,0.98507,0.27965,0.000436937,0.000436937,0.000436937
13,65.7818,0.66247,0.9403,0.98507,0.25754,0.000448291,0.000448291,0.000448291
14,71.9258,0.6394,0.92537,0.98507,0.27549,0.000436649,0.000436649,0.000436649
15,79.1197,0.53414,0.92537,0.98507,0.28643,0.000425006,0.000425006,0.000425006
16,86.5084,0.53786,0.91045,0.98507,0.2628,0.000413364,0.000413364,0.000413364
17,94.2,0.51579,0.92537,0.98507,0.2362,0.000401722,0.000401722,0.000401722
18,101.805,0.5329,0.91045,0.98507,0.22641,0.000390079,0.000390079,0.000390079
19,109.243,0.54936,0.92537,0.98507,0.2139,0.000378437,0.000378437,0.000378437
20,117.101,0.52481,0.9403,0.98507,0.2352,0.000366794,0.000366794,0.000366794
21,124.872,0.44721,0.91045,0.98507,0.28141,0.000355152,0.000355152,0.000355152
